Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	dispersal_rate	extirpation_rate	p_allopatry	p_sympatry	r_morph
169	-143.9169	-148.0048	4.087882	0.100061	0.899939	0.006443496	0.005318109	0.8999394	0.1000606	0.2702257
170	-143.1342	-147.2687	4.134471	0.0615199	0.93848	0.006705022	0.0003977197	0.9384801	0.06151994	0.2702257
171	-145.2306	-149.2947	4.064044	0.0615199	0.93848	0.01037763	0.003767799	0.9384801	0.06151994	0.2702257
172	-146.6686	-151.1034	4.434735	0.0913647	0.908635	0.004146986	0.01767362	0.9086353	0.09136473	0.2254814
173	-144.6176	-147.7946	3.177042	0.0270118	0.972988	0.00412628	0.0003590161	0.9729882	0.0270118	0.3685861
174	-144.4148	-148.0595	3.644716	0.011509	0.988491	0.004653207	0.005270665	0.988491	0.01150898	0.31638
175	-146.1464	-150.5701	4.423726	0.229463	0.770537	0.009037461	0.005270665	0.7705374	0.2294626	0.2340948
176	-145.1617	-148.3404	3.178681	0.0825034	0.917497	0.009132074	0.005270665	0.9174966	0.08250337	0.3585047
177	-144.2688	-147.4736	3.204771	0.0825034	0.917497	0.006523108	0.005270665	0.9174966	0.08250337	0.3585047
178	-144.519	-147.7367	3.217736	0.0825034	0.917497	0.005226608	0.005270665	0.9174966	0.08250337	0.3585047
179	-144.8523	-147.7774	2.925065	0.129035	0.870965	0.006373476	0.005270665	0.8709651	0.1290349	0.3866249
180	-144.7077	-147.6786	2.970909	0.163289	0.836711	0.006373476	0.0006862989	0.8367114	0.1632886	0.3866249
181	-145.3491	-150.2406	4.891447	0.178413	0.821587	0.006127512	0.009100616	0.8215868	0.1784132	0.1864027
182	-145.272	-148.7395	3.46755	0.0595711	0.940429	0.008327279	0.01450428	0.9404289	0.05957109	0.321189
183	-144.1424	-148.7542	4.611842	0.0595711	0.940429	0.009012501	0.001510328	0.9404289	0.05957109	0.2190685
184	-150.0746	-152.2725	2.197824	0.0595711	0.940429	0.009012501	0.04435077	0.9404289	0.05957109	0.4176298
185	-145.9678	-148.8555	2.887708	0.0595711	0.940429	0.006890942	0.01912995	0.9404289	0.05957109	0.3759838
186	-149.958	-150.3418	0.383726	0.0386748	0.961325	0.01144563	0.01912995	0.9613252	0.03867477	0.6218274
187	-146.0938	-149.3814	3.287558	0.0635751	0.936425	0.008819961	0.01912995	0.9364249	0.0635751	0.3340699
188	-146.9751	-150.2627	3.287558	0.177439	0.822561	0.008819961	0.01912995	0.8225615	0.1774385	0.3340699
189	-146.7551	-151.2023	4.447265	0.184156	0.815844	0.008819961	0.01912995	0.8158436	0.1841564	0.2180992
190	-145.4668	-149.6342	4.167393	0.066171	0.933829	0.006006385	0.01912995	0.933829	0.06617096	0.2488999
191	-143.4171	-147.7458	4.32868	0.066171	0.933829	0.005972177	0.003035486	0.933829	0.06617096	0.2488999
192	-143.5513	-147.8753	4.323936	0.0889421	0.911058	0.006446543	0.003035486	0.9110579	0.08894213	0.2488999
193	-144.6843	-147.1795	2.495279	0.0889421	0.911058	0.005987799	0.003035486	0.9110579	0.08894213	0.4322243
194	-144.1553	-147.6738	3.518569	0.0889421	0.911058	0.007789258	0.003035486	0.9110579	0.08894213	0.3280939
195	-144.8223	-148.306	3.483701	0.0760999	0.9239	0.005134263	0.009177249	0.9239001	0.07609993	0.3280939
